Institution,Name,Affiliation,h-index,i10-index,Citations
Indian Institute of Technology Madras,Abhinav Prakash,"University of Minnesota, Twin Cities",22,32,2629
Indian Institute of Technology Madras,N. Arvind Dasari,University of Texas MD Anderson Cancer Center,42,107,11952
Indian Institute of Technology Madras,Balaji Narasimhan,Iowa State University; Rutgers University; MIT; Purdue University,62,171,12349
Indian Institute of Technology Madras,Balaraman Ravindran,"Professor of Data Science and AI, Wadhwani School of Data Science and AI, IIT Madras",49,121,7305
Indian Institute of Technology Madras,Baskar Ganapathysubramanian,"NSF/USDA AI Institute, Iowa State University",52,158,11107
Indian Institute of Technology Madras,Bhaskar Krishnamachari,"Professor of Electrical and Computer Engineering, and Computer Science, USC",87,310,35880
Indian Institute of Technology Madras,Rao R. Bhavani,"Director, AMMACHI Labs, Amrita Vishwa Vidyapeetham",18,44,1284
Indian Institute of Technology Madras,Biswarup Mukhopadhyay,"Professor of Biochemistry, Virginia Tech; Adjunct faculty, Virginia Tech Carilion School",31,56,3356
Indian Institute of Technology Madras,Deepak John Mathew,Professor,6,3,116
Indian Institute of Technology Madras,Deepak Rajan,The Voleon Group,22,41,2603
Indian Institute of Technology Madras,Dr. K DEVAKI DEVI,Associate professor of Mecanical Engineering,8,7,189
Indian Institute of Technology Madras,Dhananjay Kumar,"Professor of Mechanical Engineering, COEP",56,315,16730
Indian Institute of Technology Madras,Dr. RVG Ravi Kumar,Professor of Mathematics,26,91,5498
Indian Institute of Technology Madras,Ganesh Gopalakrishnan,"Professor of Computer Science, University of Utah",42,142,6470
Indian Institute of Technology Madras,Gautam Biswas,Cornelius Vanderbilt Professor of Engineering; Professor of  Computer Science and Engineering,66,375,19679
Indian Institute of Technology Madras,TR Gowrishankar,"Research Affiliate, MIT",28,42,3612
Indian Institute of Technology Madras,Indumathi Nambi,Indian Institute of Technology Madras,37,86,4542
Indian Institute of Technology Madras,Jagadeesh Gopalan,"Professor of Aerospace Engineering, Indian Institute of Science",33,93,3639
Indian Institute of Technology Madras,Julius Paul Pradeep John,R&D,12,15,612
Indian Institute of Technology Madras,kamal bijlani,amrita vishwa vidyapeetham,19,32,915
Indian Institute of Technology Madras,Kandaswamy Subramanian,"Professor, Inter University Centre for Astronomy and Astrophysics",49,119,9744
