Name,Affiliation,h-index,i10-index,Citations,College/Company,Research Interest 1,Research Interest 2
Abhinav Prakash,"University of Minnesota, Twin Cities",22,32,2629,University of Minnesota,Twin Cities,Condensed Matter Physics
N. Arvind Dasari,University of Texas MD Anderson Cancer Center,42,107,11952,University of Texas MD Anderson Cancer Center,Cancer Biology,Translational Research
Balaji Narasimhan,Iowa State University; Rutgers University; MIT; Purdue University,62,171,12349,Iowa State University,Nanotechnology,Drug Delivery
Balaraman Ravindran,"Professor of Data Science and AI, Wadhwani School of Data Science and AI, IIT Madras",49,121,7305,Indian Institute of Technology Madras,Reinforcement Learning,Artificial Intelligence
Baskar Ganapathysubramanian,"NSF/USDA AI Institute, Iowa State University",52,158,11107,Iowa State University,Agricultural Engineering,Artificial Intelligence
Bhaskar Krishnamachari,"Professor of Electrical and Computer Engineering, and Computer Science, USC",87,310,35880,University of Southern California,Wireless Networks,Internet of Things
Rao R. Bhavani,"Director, AMMACHI Labs, Amrita Vishwa Vidyapeetham",18,44,1284,Amrita Vishwa Vidyapeetham,Human-Computer Interaction,Assistive Technologies
Biswarup Mukhopadhyay,"Professor of Biochemistry, Virginia Tech; Adjunct faculty, Virginia Tech Carilion School",31,56,3356,Virginia Tech,Biochemistry,Molecular Biology
Deepak John Mathew,Professor,6,3,116,Indian Institute of Technology Delhi,Human-Robot Interaction,Assistive Robotics
Deepak Rajan,The Voleon Group,22,41,2603,The Voleon Group,Quantitative Finance,Machine Learning 
Dr. K DEVAKI DEVI,Associate professor of Mecanical Engineering,8,7,189,Jawaharlal Nehru Technological University Anantapur,Mechanical Engineering,Renewable Energy
Dhananjay Kumar,"Professor of Mechanical Engineering, COEP",56,315,16730,COEP (College of Engineering,Pune,Mechanical Engineering
Dr. RVG Ravi Kumar,Professor of Mathematics,26,91,5498,University of Hyderabad,Functional Analysis,Operator Theory
Ganesh Gopalakrishnan,"Professor of Computer Science, University of Utah",42,142,6470,University of Utah,Formal Methods,Parallel Computing
Gautam Biswas,Cornelius Vanderbilt Professor of Engineering; Professor of  Computer Science and Engineering,66,375,19679,Vanderbilt University,Artificial Intelligence,Learning Technologies
TR Gowrishankar,"Research Affiliate, MIT",28,42,3612,Research Affiliate MIT,Biomechanics,Medical Robotics
Indumathi Nambi,Indian Institute of Technology Madras,37,86,4542,Indian Institute of Technology Madras,Environmental Engineering,Sustainable Development
Jagadeesh Gopalan,"Professor of Aerospace Engineering, Indian Institute of Science",33,93,3639,Indian Institute of Science,Aerospace Engineering,Fluid Dynamics
Julius Paul Pradeep John,R&D,12,15,612,R&D,Materials Science,Nanotechnology
kamal bijlani,amrita vishwa vidyapeetham,19,32,915,Amrita Vishwa Vidyapeetham,Human-Computer Interaction,Educational Technology
Kandaswamy Subramanian,"Professor, Inter University Centre for Astronomy and Astrophysics",49,119,9744,Inter University Centre for Astronomy and Astrophysics,Cosmic Magnetism,Plasma Astrophysics
Kannan Moudgalya,"Professor, IIT Bombay",19,39,1444,IIT Bombay,Process Control,Optimization
"Kartik Subramanian, Ph.D.","Senior Principal Scientist, Bristol Myers Squibb",14,15,892,Bristol Myers Squibb,Drug Discovery,Oncology Research
Rajeshkumar L,"Alliance University, AU-STIC, CoE-AMS, Postdoc@KMUTNB, Thailand",34,82,3835,Alliance University,Advanced Materials Science,Sustainable Technologies
K. V. Lalitha  (a.k.a Lalitha Kodumudi Venkataraman),Technische Universität Darmstadt,22,41,1550,Technische Universität Darmstadt,Quantum Computing,Quantum Information Theory
Madhavan Swaminathan,Dept Head EE; William E. Leonhard Endowed Chair; Director CHIMES (an SRC JUMP 2.0 Center) Penn State,54,333,13581,Penn State University,Electrical Engineering,Advanced Packaging Technologies
Mangala Srinivas,"Wageningen University & Research, Cenya Imaging BV, Young Academy of Europe. Previous: Radboud",31,48,3885,Wageningen University & Research,Biomedical Imaging,Nanotechnology
Baskaran Mani,"Sankara Nethralaya, Chennai",62,182,15027,Sankara Nethralaya,Ophthalmology,Retinal Diseases
Meenakshisundaram Swaminathan,"professor of chemistry, Annamalai university,visiting faculty, Kalasalingam university",63,301,18679,Annamalai University,Chemistry,Material Science
Mohan Krishnamoorthy,RMIT University,38,72,10785,RMIT University,Operations Research,Supply Chain Management
Mousumi Saha,"Graduate Student, Aston Labs by Prof R Graham Cooks, Department of Chemistry, Purdue University",8,8,302,Purdue University,Mass Spectrometry,Analytical Chemistry
Mukesh Doble,"Distinguished Prof, Saveetha Dental college, Retd Prof IITM",71,264,20212,Saveetha Dental College,Biomaterials,Drug Delivery Systems
Muruhan Rathinam,UMBC,19,28,2934,UMBC,Systems Biology,Mathematical Modeling
Muthu Kumaran Gnanamani,University of Kentucky,32,63,3207,University of Kentucky,Cancer Biology,Drug Discovery
Dr. Nahar Singh,"Chief Scientist , CSIR-NPL, New Delhi-India",33,54,3969,CSIR-National Physical Laboratory,Metrology,Nanotechnology
Prashant R. Nair,"Professor, Department of Computer Science & Engg,  Amrita Vishwa Vidyapeetham, Coimbatore",9,9,401,Amrita Vishwa Vidyapeetham,Artificial Intelligence,Data Science
Saranya Nallapareddy,PhD student,5,3,434,University of California,Santa Barbara,Wireless Communication
Narayanan Rengaswamy,"Assistant Professor of Electrical and Computer Engineering, The University of Arizona",12,12,379,The University of Arizona,Quantum Computing,Error Correction Codes
Narayanan Srinivasan,Indian Institute of Technology Kanpur,46,100,6291,Indian Institute of Technology Kanpur,Cognitive Science,Visual Perception
Partha S.Bhattacharjee,Xavier University of Louisiana,22,38,1806,Xavier University of Louisiana,Environmental Chemistry,Analytical Chemistry
Monisha Pasupathi,University of Utah,56,96,16600,University of Utah,Narrative Identity,Social Interaction
